# https://refractiveindex.info/?shelf=main&book=H2O&page=Hale
# ﻿Wavelength micron, n, k
1.28 1.2965 0.0000133
1.29 1.2963 0.0000132
1.3 1.2961 0.0000132
1.31 1.2958 0.0000131
1.32 1.2956 0.0000132
1.33 1.2954 0.0000132
1.34 1.2952 0.0000134
1.35 1.295 0.0000139
1.36 1.2948 0.0000142
1.37 1.2945 0.0000148
1.38 1.2943 0.0000158
1.39 1.2941 0.0000174
1.4 1.2938 0.0000198
1.41 1.2936 0.000025
1.42 1.2933 0.000054
1.43 1.293 0.000104
1.44 1.2927 0.000203
1.449 1.2925 0.0002708
1.46 1.2923 0.0003511
1.471 1.2921 0.0004299
1.481 1.2919 0.0005181
1.493 1.2917 0.0005855
1.504 1.2915 0.0005899
1.515 1.2913 0.0005635
1.527 1.2911 0.000548
1.538 1.2908 0.0005266
1.563 1.2903 0.0004394
1.587 1.2896 0.0003701
1.613 1.2889 0.0003372
1.65 1.2878 0.000241
1.68 1.2869 0.000189
1.7 1.2862 0.000166
1.73 1.2852 0.000145
1.76 1.2841 0.000128
1.8 1.2826 0.000103
1.83 1.2814 0.000086
1.84 1.2809 0.0000822
1.85 1.2805 0.0000803
1.855 1.2802 0.000085
1.86 1.28 0.000099
1.87 1.2795 0.00015
1.89 1.2785 0.000295
1.905 1.2777 0.0004687
1.923 1.2769 0.0007615
1.942 1.2761 0.00101
1.961 1.2754 0.001313
1.98 1.2747 0.001539
2 1.274 0.001588
2.02 1.2733 0.00154
2.041 1.2724 0.001412
2.062 1.2714 0.001244
2.083 1.2703 0.001068
2.105 1.269 0.0008414
2.13 1.2674 0.000565
2.15 1.2659 0.000432
2.17 1.2644 0.00035
2.19 1.2628 0.000287
2.22 1.2604 0.000221
2.24 1.2586 0.000203
2.245 1.2582 0.000201
2.25 1.2577 0.000203
2.26 1.2567 0.000214
2.27 1.2558 0.000232
2.29 1.2538 0.000289
2.31 1.2518 0.000381
2.33 1.2497 0.000462
2.35 1.2475 0.000548
2.37 1.2451 0.000618
2.39 1.2427 0.00068
2.41 1.24 0.00073
2.43 1.2373 0.000782
2.46 1.2327 0.000848
2.5 1.2258 0.000925
2.52 1.222 0.00092
2.55 1.2155 0.000892
2.565 1.2118 0.00087
2.58 1.2079 0.00089
2.59 1.2051 0.00093
2.6 1.2021 0.00101
