# Hudgins+1993 H2O:CH3OH:CO:NH3=100:10:1:1 ice mixture 10K
# http://esoads.eso.org/abs/1993ApJS...86..713H
# Fig.2, Tab.2A-2F
# w(1/cm)    Re(m)
67.39549661543197 1.7477805952314553
100.45863628069992 1.7950166765539517
135.6898506781149 1.8085987100588643
167.39794363578903 1.742201311399255
188.5366722742383 1.6846108584360513
202.62915803320402 1.6253563597213985
213.19852235242888 1.5552976219248713
223.7678866716533 1.4877711276631587
237.86037243061946 1.4313865049546284
266.0453439485518 1.3990658692920905
301.27655834596726 1.4317804095044884
327.6999691440287 1.4877711276631587
348.838697782478 1.5519212972117857
378.78523002028123 1.6064796351891468
417.539565857438 1.6426216565496772
456.29390169459475 1.6575849138008523
495.0482375317515 1.6543620583929068
533.8025733689087 1.6352551299029447
572.5569092060655 1.6156877934975622
611.3112450432222 1.6050984114428846
650.0655808803795 1.5846102592066602
687.0583559976653 1.5435648935468986
717.0048882354686 1.4849977180774097
739.9051775937883 1.4295295263624315
759.2823455123671 1.3736513523608642
778.6595134309455 1.3155785672957911
799.7982420693947 1.2548047224602497
819.1754099879731 1.1974072023377937
840.3141386264224 1.146038833488705
870.2606708642252 1.085735262452486
907.2534459815115 1.05145789314941
946.0077818186683 1.0719460453856342
977.7158747763419 1.134101113967438
1012.2630992196209 1.2572307692307692
1034.5596432552952 1.1162051282051282
1074.6017143692343 1.2040543416166811
1108.0713680467788 1.245519829499264
1146.825703883936 1.2570300273847832
1185.5800397210928 1.2816618508597943
1224.3343755582496 1.2998479635189146
1264.8502721152772 1.314396853646211
1301.8430472325635 1.323328767205374
1340.5973830697203 1.3325369255137893
1379.351718906877 1.3422054917376256
1418.1060547440343 1.3491116104689371
1456.860390581191 1.3447377352724397
1495.6147264183478 1.336450392794866
1534.3690622555046 1.3435867154838879
1573.1233980926618 1.3475001827649642
1611.8777339298185 1.35095324213062
1650.6320697669753 1.3419752877799151
1689.3864056041325 1.3062936743348055
1728.1407414412893 1.2890283775065268
1766.895077278446 1.3016895951805978
1805.6494131156032 1.3152716286855106
1844.40374895276 1.3258610107401883
1883.1580847899168 1.333457741344631
1921.9124206270735 1.3396732482028113
1960.6667564642307 1.3458887550609915
1999.4210923013875 1.351413650046041
2038.1754281385445 1.3571687489888005
2076.9297639757015 1.3622332360584288
2115.684099812858 1.3668373152126367
2154.438435650015 1.365225887508664
2193.1927714871717 1.3645352756355327
2231.947107324329 1.3638446637624018
2270.7014431614857 1.3622332360584288
2309.455778998643 1.3645352756355327
2348.2101148357997 1.3675279270857676
2386.9644506729564 1.3705205785360028
2425.718786510113 1.3753548616479208
2464.825434491245 1.380235185551381
2503.227458184427 1.3847932239140466
2541.981794021584 1.3907785268145165
2580.736129858741 1.3946919940955933
2619.490465695898 1.4002168890806423
2658.2448015330547 1.4066625998965332
2696.9991373702114 1.4170217779935004
2735.753473207368 1.4271507521327575
2774.5078090445254 1.4400421737645388
2813.262144881682 1.4543148191425828
2852.0164807188394 1.4552356349734241
2890.770816555996 1.469508280351468
2929.525152393153 1.4916078602916651
2968.2794882303097 1.5157792758512554
3007.0338240674664 1.5438641586919224
3045.7881599046236 1.5896747462762888
3084.5424957417804 1.6357155378183657
3123.2968315789376 1.6566640979700107
3162.0511674160944 1.647916347577016
3197.28238181351 1.6053797718356417
3225.4673533314417 1.5501125518297756
3248.367642689762 1.4903033711979727
3269.506371328211 1.432483810486381
3288.3802361839694 1.3583855413366983
3306.4991464454974 1.3005056891123732
3325.876314364076 1.2404553424296356
3352.2997251621373 1.177511003135682
3376.961575240328 1.121801645369769
3401.623425318519 1.0639217931454437
3429.808396836451 1.006363495655698
3465.0396112338663 0.964671001092595
3503.7939470710235 0.968814672331382
3542.54828290818 1.0079493451421473
3581.302618745337 1.060435847500115
3620.0569545824937 1.1014121519725633
3658.811290419651 1.1387051931216456
3697.5656262568077 1.16517864825834
3736.3199620939645 1.1824439450866187
3775.0742979311217 1.199248833999477
3813.8286337682785 1.210759031884996
3854.050936871994 1.2218855565076647
3897.4358974358975 1.2315897435897436
3942.0289855072465 1.2315897435897436
3982.1627647714604 1.238

