# Hudgins+1993 ice mixture 10K
#w(1/cm)    Im(m)
91.33382523077444 0.021825553367037065
130.98714126656205 0.14419445297660016
170.62590440872827 0.2600654855844584
217.55898633593688 0.3360679725192943
256.7078020595354 0.23317748273641725
283.5440187334925 0.12734798927925972
326.1419553498713 0.02599176596536812
345.8559274386539 0.005
377.33648196875356 0.026660177816234087
433.6130554387446 0.09860791989056095
487.92343317602626 0.1717911028287631
541.6590193254619 0.2325359072156985
596.455060881045 0.27836191960381673
650.7468703330055 0.3432543631459042
705.0878857410676 0.43011726608769596
759.3527711793113 0.482988137505417
813.4496136353941 0.4608278173882989
860.0283894683089 0.37863263322101903
896.7246596459108 0.2796078515488991
928.489115874228 0.17638273031738394
965.1885065553356 0.07875125346044465
1014.4141656715656 0.0794621608954118
1027.0478739469645 0.14949514662354613
1047.1215813228005 0.03095932386389677
1132.3849812198437 0.004921172093064197
1220.9835546320764 0.0028016023235981624
1265.285626580991 0.002985428348282415
1319.443744378635 0.008184548238343137
1369.3865961470465 0.015142747901411013
1427.7961881303004 0.03474972984088898
1481.955234342211 0.040363386700755344
1536.0901417832029 0.035199082345672705
1590.2556868949755 0.04371449799417926
1648.1441732137382 0.06613222096656868
1695.8697211902609 0.06861018443202771
1752.6474114182265 0.02241806735165075
1806.7553948455025 0.005232190872201503
1860.902371671954 0.0054568671245933675
1915.049348498405 0.005681543376985454
1969.196325324856 0.005906219629377318
2023.343302151307 0.006130895881769183
2077.490278977758 0.006355572134161047
2131.643754704072 0.009482007175193097
2185.8012535588723 0.014404769085383684
2239.9460640853686 0.013662192408228746
2294.078186283563 0.007254277143728727
2348.2251631100135 0.007478953396120591
2401.3876494487113 0.007699544625741739
2456.519116762916 0.007928305900904542
2530.3559033444403 0.00823468260871163
2586.9641063902754 0.008469571418030508
2629.616850395495 0.004846666848211001
2675.086310643973 0.0
2706.4415852349557 0.0
2773.6314593584902 0.002
2803.553290265696 0.00993826476108084
2851.154443625206 0.01792554808593394
2902.625305013603 0.01376925017828623
2965.428700405222 0.03283928538485781
3012.8277302422207 0.04215569044142731
3074.5125953364204 0.11126559504933331
3121.482527573207 0.20372174521070896
3163.5586876352613 0.30896320815047984
3208.112243798501 0.4214347358712942
3253.0914082716695 0.504154915095687
3308.275980881894 0.5280951910437381
3363.2994736169535 0.48011330273049313
3412.3486308654874 0.4020161262390578
3453.121697031883 0.29173526289959884
3490.6301491673103 0.18904062726400905
3535.9378742913887 0.08878494880006027
3589.2029968272013 0.024939872601896784
3646.5066749997586 0.0060262171732683445
3696.95670621867 0.003955621256338304
3751.103683045121 0.004180297508730169
3830.7521455687674 0.0034524257589061413
3897.923433281756 0.0

