# Draine+Lee 1984, Fig.3
# http://esoads.eso.org/abs/1984ApJ...285...89D
# w(eV)  Re(eps)
0.0011609279383818015, 11.729032174355316
0.0013211064146896666, 11.725306923486446
0.0015034398400556657, 11.72742168736952
0.001710982362405169, 11.733707890361122
0.0019470643992527525, 11.73081692731396
0.002215560786309055, 11.716245934762913
0.002521290823892708, 11.715023547359161
0.002869313035660325, 11.719641174707352
0.0032648000656431407, 11.695893016117537
0.003715048041407927, 11.682990599209903
0.004227398373552063, 11.670421897430948
0.004809841136263927, 11.638831433317097
0.005472260169068565, 11.599231806114869
0.006225844247018576, 11.557963603269227
0.007082252348217998, 11.495003917059227
0.008056007238859107, 11.422867064810461
0.009162035484123133, 11.32236442662369
0.010417866363267416, 11.19015885121209
0.01184234288197946, 11.010398869963243
0.013224136452062779, 10.80337836576723
0.014423959678819752, 10.594583782253077
0.015549386098645595, 10.391526801664114
0.016566962661840746, 10.190241577247875
0.01754738976274284, 9.985952860549189
0.018477058607587856, 9.782637423518185
0.019340184756235373, 9.564235225587023
0.020243630458135427, 9.34583302765586
0.021187170781519927, 9.111370789156858
0.022048121888748076, 8.901436556491706
0.022941014217381758, 8.670088936402763
0.02387142372248355, 8.447918482352591
0.02469381148257975, 8.224274063693095
0.02554501526654345, 8.003688700379854
0.026426562076950922, 7.789221447759126
0.027336458058954873, 7.562517973753375
0.028279290734643154, 7.3449916657863925
0.029255196142707662, 7.130524413165663
0.03026363235251839, 6.909939049852423
0.0313068296893541, 6.689353686539183
0.03238782795321541, 6.477945489264711
0.03350615216985016, 6.266537291990237
0.03466440519770391, 6.061247205408274
0.03586269714347737, 5.855957118826313
0.03710241208725453, 5.6506670322443515
0.0383798894822537, 5.423963558238601
0.039702104349326035, 5.200319139579105
0.041071427368182464, 4.982792831612121
0.04249039425432898, 4.774443689683903
0.043955885212208744, 4.556917381716918
0.04547019715283537, 4.333272963057423
0.0470375697676856, 4.112687599744184
0.048663581830489036, 3.9073975131622234
0.05034103146294297, 3.6868121498489828
0.05208123880819891, 3.481522063267022
0.05388364485232943, 3.2823500873775693
0.05574631456401797, 3.0770600007956084
0.05800362232788931, 2.844947616870103
0.06035290608943035, 2.6143647606177254
0.0627997219459827, 2.3899000150578598
0.06852710642086046, 2.25078336265298
0.07450331017726868, 2.4685888890466696
0.07727771245034992, 2.6793303295554605
0.08016454575923626, 2.9084261021417834
0.08266968481293811, 3.132988854772531
0.08476329523169505, 3.3759615025446177
0.08692969596158083, 3.655642814471772
0.09341185810361209, 3.882569775467502
0.10001787563387961, 3.5304175594170584
0.10224514719600919, 3.2915889901538993
0.10331854863761757, 3.080403045134654
0.10560731131994278, 2.8232201437939626
0.10732657721205636, 2.5844471375946103
0.11034120224970745, 2.3134429241319587
0.11275347287405316, 2.0103741925974337
0.11500720608204532, 1.72720784183484
0.11754376150356037, 1.454729663762869
0.12178716711845468, 1.1721799086666849
0.13282008218432867, 0.9429601715175497
0.146181802672867, 1.239745057281361
0.1534427466521952, 1.4766832476403362
0.1591597631942816, 1.6904837434953812
0.16609256414067378, 1.933289702076049
0.17534828412635553, 2.1502884696205555
0.18950841790660822, 2.3553640982104085
0.21213110460113363, 2.5371217189294146
0.24161202047718297, 2.6752253977505767
0.27510612994954453, 2.76410609509108
0.3131835437051549, 2.822118143028458
0.3565036048823267, 2.867615873640247
0.40578430277275057, 2.900599286926443
0.4618462008856467, 2.922736958530461
0.5256235479391814, 2.935697464095716
0.5981894942569059, 2.94365224273073
0.6807384786986758, 2.943264143148685
0.7747110987965014, 2.9495503461402883
0.8816698524207865, 2.9583394125970113
1.0033385738360159, 2.9579513130149664
1.1417914394868094, 2.9567289256112144
1.299349716318623, 2.955506538207464
1.478665088521977, 2.9559527264471246
1.6827614815060596, 2.95973606597361
1.9150782789769267, 2.9676908446086276
2.1795018071796637, 2.9781484867087595
2.4804867774510915, 2.991943280095718
2.823124747152053, 3.010743800412911
3.213258547158308, 3.0378871989471676
3.6575893859113204, 3.07754491480701
4.163986661042347, 3.141396977496335
4.741573528020869, 3.241957704340722
5.338569456864857, 3.414285611332586
5.872330126358661, 3.6203926807416362
6.30978671088718, 3.836307042490846
6.70001560002437, 4.0376490647056436
7.073161306320538, 4.249600390928826
7.578273683197662, 4.4760962751545215
7.927358227646569, 4.631691374835002
7.940215375748528, 4.89324060693985
8.318839123134536, 4.192235386094341
8.418024736667842, 3.8923183150124157
8.503014644657663, 3.616892207721804
8.9483564493542, 3.320683456676175
9.764614898596488, 3.184231890368407
10.338924084443573, 2.924421319135183
10.82312110626939, 2.7243734532815544
11.261749899263647, 2.497614416211997
11.583122158958478, 2.296968475713225
11.843757151473083, 2.094848570605132
12.108535362882325, 1.8697857504001227
12.452301744776337, 1.6461968948044365
12.881292518807264, 1.42255247614494
13.880995686513119, 1.1572218688643456
15.354652200791605, 1.0033060084455823
16.23277493704786, 0.8115779396878136
17.083985036509123, 0.5250561972386585
18.861335364609506, 0.37654200069074406
21.465684588118904, 0.3875955626635257
24.437632239245705, 0.45144762535284677
27.281033609095932, 0.51298203478974
