# naked silicates, Fig.14
# wlen(micron), kappa(cm2/g)
1.1555767226857871 1826.963828159153
1.3553437693757235 1902.6243615037636
1.723741961442936 1709.1114719430093
1.9813817989942326 1460.2969631850438
2.2613451568096936 1222.221230865949
2.638369022982762 984.6015775290916
2.9505836110209267 844.8067958324352
3.324996772834811 707.3584560046199
3.9874671054940105 577.4038142494669
4.757720664007527 459.6741721371645
5.2510988517041755 425.84870366210794
5.921795297756588 388.1813359934286
6.606276839443941 377.82167179248705
7.2966453258615385 385.3794081172064
8.242918484059135 456.7442064343413
8.611856406423229 608.9879999957677
8.930463222722615 844.6811170650424
9.093876606146335 1107.0751180986877
9.343641079870828 1429.1227018999928
9.719624905592744 1985.8972598549833
10.507382410910639 2396.225922423124
11.707837874580186 1419.6429263183657
12.786747817321073 794.3365591220106
13.917203694616324 634.2274360171277
15.295017481306234 662.2782008425636
16.312356743862214 836.3173224047696
17.116778597644377 1021.8729849114711
18.586446161716427 1163.0638845911644
20.41378030137546 866.8184594929543
22.670693443585545 590.6040170858274
24.898350748255908 463.3586177514403
27.194257183224856 372.95390651352903
29.53788112326366 311.94944048436395
34.084153459988684 225.89056472476497
38.03199355436496 175.63070503421548
42.436541382368326 138.4383918393421
47.1174560786197 106.60147140683226
52.05521924399454 82.21944575760197
57.79549832252566 65.18794045921241
64.4866811200511 53.25920759004823
71.95375747197426 42.74019223910293
80.28611264928864 34.010608120977295
89.5827355035007 27.264540793735698
99.95524410214145 21.99529853773612
111.52830400465862 17.819415591456178
124.4421984162646 14.330164920077198
138.85181606556674 11.487750076524586
154.92841514082892 9.306761282333744
172.86884008802895 7.429343561317032
192.8855671589879 5.968293794122458
215.21962564226962 4.804695905151607
240.13754857244064 3.9048417975206657
267.9412547154876 3.1634941753362216
298.9653460523541 2.5521060242795905
333.58061295132796 2.0654007382101556
372.2037580820396 1.6715137101732398
415.3025936044965 1.3399658593636845
463.38826604198323 1.0832816033798944
517.0430848361343 0.8730016425560606
576.9093274031115 0.7050253209213881
643.7072302208474 0.5693697227017384
718.2393810545287 0.45981594066123016
801.4045256514373 0.3697785838563177
997.7460272318646 0.23738395132280193
1242.161772999781 0.1561329290897139

