# opacity, 4.5 volume ratio
# Ossenkopf+1994, Fig.5c
# w(micron), kappa(cm2/g)
1.2073021030103008 8552.715854529664
1.3470495594683647 7498.4748295278005
1.5029748518849435 6568.656386692734
1.6769483225900441 5755.749876452436
1.8719735468444696 4879.093887371753
2.232423792924282 3739.3168083428345
2.4921474519965416 3171.5320285234875
2.8007435822834235 2865.272386741709
2.9212655877309537 4103.460996495359
3.034625438893816 5300.931516582716
3.2432725118354107 3480.1364428139213
3.3352564529099404 2434.2805783532544
3.5246106626234646 1960.3857779199564
3.870455711731499 1641.2565078258506
4.298513240622367 1461.50078699436
5.3382075245228915 1085.7709313002583
7.320249188489015 971.7872326108132
8.12629012457096 912.6193267669754
9.051984317917512 1264.6286025992563
9.518235467221904 1754.7066957130498
9.94643293364598 2532.8764501347555
10.452231056811065 2230.4836494992937
11.551173944650333 2093.9027991324015
12.6355412482999 1738.322801552547
13.618069121798191 1376.6507842620326
14.970853453137893 1133.98667968041
16.45314687633662 1148.883086310114
18.114888213460773 1264.0637541487558
19.565942318719475 1113.5466311194107
20.78866205804976 931.2961173805678
22.742133924667844 728.5169667079977
25.127634976306457 570.9636533272758
27.5364263064175 457.27009031100505
30.9799513535507 367.2173510153969
34.564473274736756 331.6312508653469
38.56043631760707 317.978012733637
43.01810965869499 306.1717900700094
47.999932888920334 259.2236427396838
53.8036066689038 198.3685600663922
59.77258000023627 162.6507949408899
66.69994889117898 130.33759190119346
74.43263156539398 102.05581873359533
83.0586585911602 82.03914098141746
92.68519588103024 65.5337132179011
103.42636419241994 52.73570055037532
115.4076249994645 43.65893506359603
128.77722314907652 36.06852115820796
143.69759132702623 29.517124194576823
160.34473131777156 24.359738985382723
178.92579961119492 19.685162971371106
199.65827711529283 16.00829429983138
222.7910558123977 13.10058732152731
248.6032932193648 10.743596597978543
277.4052630798903 8.829209871281897
309.54502058698597 7.240703550753782
345.4094814121919 5.925520068489865
385.437382911413 4.778368480792821
427.04965637654766 3.8323849385841213
479.959676821431 3.049067094188924
535.5807816276078 2.4561989115330607
597.6512477931991 1.970305852428719
666.9092734815894 1.5905356993936033
744.1797396912652 1.3002669307994144
830.3967891753562 1.0685741516835858
926.6108909050977 0.8726440876557182
1033.9573055206426 0.7201711813895602
1153.7066566786507 0.6063312052145635
1255.6732891366337 0.5265826721544854

