# Ossenkopf+1992, Fig.10, cool oxygen-rich silicates
# http://esoads.eso.org/abs/1992A%26A...261..567O
# wlen(micron) Re(m) Im(m)
0.433409628848 1.81251323018 0.0899905964912
0.489218062299 1.82800107129 0.0793767969332
0.501170509961 1.83131808986 0.0775027752625
0.552173166189 1.8348149342 0.0695060798794
0.582316506576 1.83688162204 0.0666741123119
0.623422703515 1.83710426341 0.0628121841027
0.679049159684 1.83740555011 0.0536912726991
0.706451510135 1.83755396804 0.0507970307526
0.737876411072 1.83491139226 0.0474779261883
0.836135988863 1.82664856968 0.0417180808134
0.913103218523 1.82017625851 0.0424226817067
0.946617435695 1.81693861488 0.0427294895191
1.01423549663 1.81040636668 0.0473988185835
1.15015341997 1.79727600481 0.0607952278149
1.16303993794 1.79826064413 0.0620653551392
1.27292650005 1.80665690991 0.0788543296397
1.50705090096 1.8245460008 0.092277020057
1.53527547941 1.82585536967 0.0938951759483
1.78376278378 1.83738296574 0.0984639526568
1.97449281192 1.846231139 0.101625290794
2.06306577852 1.85109748698 0.103093382107
2.41005978143 1.87016192199 0.0973409296379
2.61098782065 1.88120124691 0.09475806561
2.85410020784 1.88176709421 0.091632935628
3.03348558959 1.88218461607 0.0896648833845
3.30705470657 1.88108054089 0.0866635333907
3.52415829202 1.88020435033 0.0851687324901
3.96520124177 1.8736637697 0.0821320650066
4.09371255478 1.87175797208 0.0814797770523
4.61888254932 1.8601250165 0.0788141591128
4.75477419221 1.8571149027 0.0786477095063
5.43669295214 1.83811096013 0.0778124476254
5.52190293725 1.83573629946 0.0781572937747
6.31646028218 1.7983064908 0.0813728798412
6.41038999663 1.7938816733 0.082120135746
7.28951023688 1.73941384409 0.0891139586745
7.4401807341 1.72429512045 0.0903126147056
7.9552064984 1.6726159109 0.100450029504
8.22390078828 1.6308166751 0.105738824084
8.44667755006 1.59616056686 0.122370101881
8.58986182671 1.56804626187 0.133059446058
8.73086712266 1.54035980085 0.15230721044
8.81755699897 1.52333819988 0.169411825037
8.83091250697 1.51040320755 0.172046974916
8.84327733753 1.49842769989 0.21259711514
8.92044444357 1.42369030133 0.229682449224
9.08215552459 1.4071662381 0.265486407493
9.2839772042 1.38654356849 0.311987181839
9.36327849969 1.37844035371 0.371225911795
9.50456831115 1.36400298947 0.427292013227
9.63687773745 1.35048326458 0.473058556331
9.71541318847 1.36080346109 0.50022439179
9.9646590099 1.39355638763 0.627003252596
10.2763665531 1.43451729203 0.697701464771
10.4924516007 1.52810295598 0.746711592599
10.5768851452 1.59339929054 0.765861917244
10.7135873683 1.65152062674 0.796867271407
10.7673324248 1.67437127557 0.804175076541
10.975440675 1.75175818944 0.832471903093
11.0959795016 1.82692904566 0.84886176877
11.4231394286 1.9245673682 0.893346250764
11.4508483845 1.93268901002 0.897113883796
11.7260165396 2.01334225467 0.824117078485
12.0407432508 2.07111548858 0.740626151084
12.2365774113 2.1070640508 0.666990066254
12.3256918634 2.12411822939 0.633481921693
12.6805841963 2.19203535258 0.53981680939
12.707106993 2.1896284304 0.532816768811
13.4497564931 2.12223359355 0.449962311433
13.9215511367 2.07941861418 0.440583473732
14.785793851 2.01834171274 0.423403134234
15.6219771409 1.85796946633 0.406780589934
15.6743404278 1.85396679783 0.405739656605
16.2778352726 1.80783543462 0.473888170516
16.6874196885 1.77652665441 0.534030558235
16.7727597648 1.77327654386 0.546561689213
17.2628551409 1.75461164195 0.739495987943
17.8900386045 1.75970988945 0.879090317931
18.834538453 1.83454518089 1.05271744098
18.9262924382 1.85271768778 1.06958454848
19.2040762408 1.90773467753 1.0764308308
19.3696024127 2.02378783915 1.08051040237
20.2661244836 2.1120353899 1.10260615864
20.7652378378 2.19963389633 1.11490734719
21.2073886252 2.27134235945 1.12580463165
21.6392561053 2.34138306538 1.11126567882
22.7317862106 2.42523698606 1.07448531356
23.5488866038 2.49233004272 1.04697737509
24.3274792243 2.53936638169 1.02076581274
24.8712923837 2.57221922338 1.00381086509
