# opacity, no ice mantles
# Ossenkopf+1994, Fig.5a
# w(micron), kappa(cm2/g)
1.105935148276864 8247.95683745995
1.345283799712701 6774.0752053849355
1.5299940419712579 5660.1422864696515
1.9460959385660703 3984.5837881931748
2.5031587784625913 2697.4237055606577
3.061478045718381 1898.348322040852
3.539612795272587 1512.2777936566256
3.914979219538328 1333.0059567932478
4.368100457865643 1180.3630883169383
4.873589269448221 1028.399712564671
5.437624247876727 904.4355248953452
6.067217882617105 834.2121995876187
6.769882422241226 789.9844913177782
7.553932631800424 748.8926052189754
8.346231453695607 806.5577828103584
8.951569864518671 1042.8680594109464
9.412297416484801 1499.3537529613573
10.211334391012265 2071.986327740297
11.206356802470815 1565.9499741687916
12.208597524302766 1079.4574434029953
12.907994400912107 778.9406615638375
13.873237707905448 681.8271046318388
14.845611484417082 632.6421109875943
16.938335777879022 907.7897413225867
18.90157097908949 935.2679557655555
20.878111261404815 751.1575286834716
22.83131479229761 568.6475110829434
25.46969846096317 426.4016213111139
28.414864136030907 342.3643141705649
31.95683817720842 265.1111446786385
35.14429476687702 223.8518278604463
38.48830776269516 194.51921016115332
41.97586913804391 159.42317552399865
47.19357241623692 126.40512881818081
54.358464068398916 93.57164014730904
60.88304204204944 79.0185086184604
68.19712363202203 65.9700413807041
76.08659715479014 55.57743959911887
84.46633939292236 46.568612829412515
96.9012367250366 37.72801259491736
107.79040800457872 32.33603257724629
120.25867455696176 26.870279754855876
134.1676449688728 22.070349668763058
149.68638744025927 18.262443110374722
166.99704163408262 14.826801506412087
186.30769015991214 11.910955181790136
207.85324319340114 9.659980280729211
231.89019323576147 7.826127900892772
258.7092635047589 6.4010051250845805
288.63007136798944 5.235394454348881
322.0110145618746 4.277516508308247
359.24960921257957 3.465472011261028
400.7867865274785 2.7517760355966887
447.12657755452926 2.1850620421917126
498.82580945048454 1.740569244767741
556.5090865596441 1.4027079763268608
620.8608335536493 1.126850712336259
692.6645596846615 0.9197074854399975
772.7788804371154 0.7570152756943231
862.1539885762023 0.6191642560472231
961.8528412713306 0.4995060882750921
1073.117216850661 0.41727366904132446
1197.2609555129413 0.3511670921151809

