# Draine+Lee 1984, Fig.3
# http://esoads.eso.org/abs/1984ApJ...285...89D
# wlen(eV) Re(m) Im(m)
0.0011969248161 11.7281949995 0.324866700525
0.00130999138273 11.7255654244 0.354634392066
0.00132110641469 11.7253069235 0.357675759001
0.00143381000852 11.7266140974 0.388514445295
0.00150343984006 11.7274216874 0.407902632698
0.00157884362445 11.7297055735 0.428898557439
0.00171098236241 11.7337078904 0.463509029814
0.00172797557434 11.7334997985 0.467959981151
0.00189139557805 11.7314986247 0.5145003825
0.00194706439925 11.7308169273 0.529480602343
0.00208261157647 11.7234609367 0.565955714802
0.00221556078631 11.7162459348 0.601751989764
0.00227940169385 11.7159906824 0.618941010166
0.00249481982304 11.7151293852 0.677528347491
0.00252129082389 11.7150235474 0.684752600977
0.00273060743887 11.7178008015 0.741877614637
0.00286931303566 11.7196411747 0.777241172133
0.00297051428916 11.7135642538 0.803042844377
0.00325118100144 11.6967108121 0.877776606873
0.00326480006564 11.6958930161 0.881459450162
0.00355843852909 11.68747844 0.960864644858
0.00371504804141 11.6829905992 1.00276317488
0.00389468247575 11.6785839042 1.05082167803
0.00422739837355 11.6704218974 1.14208481313
0.0042885788038 11.6671036002 1.15886645148
0.00469376751407 11.6451270212 1.26643742948
0.00480984113626 11.6388314333 1.29824885934
0.00513744740379 11.6192470231 1.38803345988
0.00547226016907 11.5992318061 1.48148666482
0.00565715378343 11.5891065561 1.53309431729
0.0061916278106 11.5598373834 1.67503652766
0.00622584424702 11.5579636033 1.68403088334
0.00677652884666 11.5174794818 1.82878742941
0.00708225234822 11.4950039171 1.91311822072
0.0074619393638 11.466876278 2.01785111274
0.00805600723886 11.4228670648 2.17568173045
0.00816694998044 11.4127859134 2.20515674866
0.00893855247563 11.3426718935 2.40949772367
0.00916203548412 11.3223644266 2.4733889371
0.0098431299707 11.2506633003 2.66810599188
0.0104178663633 11.1901588512 2.81650611397
0.010772723904 11.1453780605 2.9081322978
0.0117904446196 11.0169481044 3.17622556287
0.011842342882 11.01039887 3.19074586111
0.0129832632999 10.8394660148 3.50995702483
0.0132241364521 10.8033783658 3.56605968568
0.0142078276956 10.6321953124 3.79517486814
0.0144239596788 10.5945837823 3.84889970506
0.0155493860986 10.3915268017 4.1286516879
0.0157373865757 10.3543387221 4.17538375791
0.0165669626618 10.1902415772 4.36230164509
0.0175473897627 9.98595286055 4.5832088835
0.0178536265548 9.91897990824 4.65220934664
0.0184770586076 9.78263742352 4.7458724721
0.0193401847562 9.56423522559 4.87554673633
0.0202436304581 9.34583302766 5.01127852578
0.0203664901734 9.31530336914 5.029736712
0.0211871707815 9.11137078916 5.1331404635
0.0220481218887 8.90143655649 5.2416181995
0.0229410142174 8.6700889364 5.35412045136
0.0232302046827 8.60103377668 5.39055774342
0.0238714237225 8.44791848235 5.44122511979
0.0246938114826 8.22427406369 5.50620795338
0.0255450152665 8.00368870038 5.57346775043
0.026426562077 7.78922144776 5.64312517052
0.0264882324452 7.77385607963 5.6479981945
0.027336458059 7.56251797375 5.67405317479
0.0282792907346 7.34499166579 5.703014204
0.0292551961427 7.13052441317 5.73299112966
0.0301919617181 6.92561628634 5.76176579551
0.0302636323525 6.90993904985 5.76110411704
0.0313068296894 6.68935368654 5.75147309847
0.0323878279532 6.47794548926 5.74149309373
0.0335061521699 6.26653729199 5.73116848791
0.0344007646667 6.10797515357 5.72290923602
0.0346644051977 6.06124720541 5.71824307266
0.0358626971435 5.85595711883 5.69703455078
0.0371024120873 5.65066703224 5.67509288489
0.0383798894823 5.42396355824 5.65248286287
0.0391918248785 5.28662973739 5.63811245032
0.0397021043493 5.20031913958 5.61560632587
0.0410714273682 4.98279283161 5.55521166756
0.0424903942543 4.77444368968 5.49262744233
0.0439558852122 4.55691738172 5.42799125026
0.0446323819386 4.45700750645 5.39815403284
0.0454701971528 4.33327296306 5.34877115234
0.0470375697677 4.11268759974 5.25638637199
0.0486635818305 3.90739751316 5.16054523897
0.0503410314629 3.68681214985 5.06167224963
0.0508095441971 3.63154228788 5.0340569617
0.0520812388082 3.48152206327 4.93557440257
0.0538836448523 3.28235008738 4.79599249487
0.055746314564 3.0770600008 4.65174364893
0.0564676554214 3.00288662102 4.59588157872
0.0580036223279 2.84494761687 4.45313943978
0.0603529060894 2.61436476062 4.23481325861
0.0609178103572 2.56254186091 4.18231496379
0.062799721946 2.38990001506 3.938319051
0.0641659888598 2.35671375348 3.76117813494
0.0664031900602 2.30237272869 3.41484874312
0.0685271064209 2.25078336265 3.09416392147
0.0687079772591 2.25737528451 3.06685468576
0.0706820355403 2.32932075701 2.78257683951
0.0727100552647 2.40323287943 2.51779097666
0.0745033101773 2.46858888905 2.34463170368
0.0752394497198 2.5245054766 2.27354901091
0.0772777124503 2.67933032956 2.10861488047
0.0778612611108 2.72564008038 2.06139472114
0.0801645457592 2.90842610214 1.99438022511
0.0826696848129 3.13298885477 1.92149273754
0.0842118471039 3.31196353496 1.87662323833
0.0847632952317 3.37596150254 1.80000524885
0.0849358703471 3.39824086851 1.77602772909
0.0869296959616 3.65564281447 1.88443861346
0.091437923914 3.81346646132 2.12956585812
0.0934118581036 3.88256977547 2.40797352554
0.0938268872314 3.86044548857 2.46651007249
0.0962344929347 3.73210134175 2.76501304279
0.0993009524992 3.56863514959 3.1207815031
0.100017875634 3.53041755942 3.15293961961
0.102245147196 3.29158899015 3.25284552992
0.103318548638 3.08040304513 3.30099374407
0.10560731132 2.82322014379 3.40365788397
0.107326577212 2.58444713759 3.48077682489
0.108085098754 2.51625871243 3.51480086865
0.11034120225 2.31344292413 3.44287656808
0.112753472874 2.0103741926 3.36597367877
0.115007206082 1.72720784183 3.29412494269
0.117543761504 1.45472966376 3.2132598694
0.117995956718 1.4246199692 3.19884394188
0.121787167118 1.17217990867 2.85829156612
0.12206776625 1.16635018381 2.83308623832
0.124865986042 1.10821439636 2.62168865341
0.127688423481 1.04957546331 2.3722223024
0.130567236308 0.989765275747 2.13775270122
0.131957735577 0.960876276321 1.95020220216
0.132820082184 0.942960171518 1.84771765416
0.133366833748 0.95510438606 1.78273962053
0.134783316936 0.986566711719 1.62302047922
0.136245820289 1.01905121781 1.50192707549
0.137688967583 1.05110579528 1.36457947364
0.139139491492 1.08332421903 1.23474316596
0.140605296361 1.115882057 1.11726045668
0.142054239513 1.14806536963 0.994588564224
0.144405428831 1.20028899261 0.899952307674
0.146181802673 1.23974505728 0.831973759184
0.14757722334 1.28528024508 0.77857358561
0.1497105046 1.35489320488 0.700193380128
0.151483958918 1.41276433816 0.603293879157
0.153033200755 1.46331899859 0.534088019767
0.153442746652 1.47668324764 0.519069011764
0.15461335282 1.52046065798 0.476140139717
0.155852084662 1.56678577882 0.415019111921
0.156864478306 1.6046464814 0.374257268412
0.158489981993 1.66543579203 0.334527224853
0.159159763194 1.6904837435 0.320956346093
0.160697254044 1.74433094643 0.289804229732
0.162653241397 1.81283506014 0.255539507442
0.16434807299 1.87219277322 0.229346157605
0.1656647975 1.91830812535 0.1999055125
0.166092564141 1.93328970208 0.198510324189
0.171760882409 2.06618245165 0.180022740937
0.175348284126 2.15028846962 0.177307274092
0.189508417907 2.35536409821 0.166588827475
0.189790566262 2.35763096485 0.166375256605
0.212131104601 2.53712171893 0.158367979843
0.214822062284 2.54972754017 0.157403489078
0.241612020477 2.67522539775 0.147098744909
0.243100185461 2.67917442472 0.146526322984
0.27510612995 2.76410609509 0.141806544254
0.276881368111 2.76681072209 0.141544757531
0.313183543705 2.82211814303 0.138113152701
0.315394265709 2.82443999649 0.137904175575
0.356503604882 2.86761587364 0.134065921746
0.359243704844 2.86944981377 0.133810086955
0.405784302773 2.90059928693 0.128807661222
0.4091282381 2.90191973708 0.128448237647
0.461846200886 2.92273695853 0.123672105677
0.465939731035 2.92356882475 0.12330124081
0.525623547939 2.9356974641 0.119191928762
0.530670225157 2.93625068778 0.118844458165
0.598189494257 2.94365224273 0.115615581031
0.604449599955 2.94362281118 0.115316212978
0.680738478699 2.94326414315 0.112776763755
0.688539932247 2.94378601346 0.112517074591
0.774711098797 2.94955034614 0.110428047977
0.78436934737 2.95034398842 0.110193905408
0.881669852421 2.9583394126 0.108524207409
0.893582257877 2.95830141434 0.10831978792
1.00333857384 2.95795131301 0.106939292316
1.01803842685 2.95782152939 0.106754400155
1.14179143949 2.95672892561 0.105886552612
1.15991249068 2.95658833671 0.105759474415
1.29934971632 2.95550653821 0.105043570163
1.32158547374 2.95556186717 0.104929406436
1.47866508852 2.95595272645 0.104326064838
1.50581639224 2.95645603079 0.104221776889
1.68276148151 2.95973606597 0.103596915657
1.71572049981 2.96086461844 0.103480524674
1.91507827898 2.96769084461 0.103345018035
1.95503584545 2.96927111975 0.103317858244
2.17950180718 2.97814848671 0.102712615241
2.22755914678 2.98035105872 0.102583034933
2.48048677745 2.9919432801 0.102482706415
2.53828084782 2.99511443651 0.102459781306
2.82312474715 3.01074380041 0.10245241946
2.89238988628 3.01556289395 0.102450629289
3.21325854716 3.03788719895 0.102141590036
3.29572944964 3.04524794759 0.102062159573
3.65758938591 3.07754491481 0.101698048508
3.75527531624 3.08986221676 0.101599754873
4.16398666104 3.1413969775 0.101592674867
4.27916412567 3.16144994307 0.101590679676
4.74157352802 3.24195770434 0.100914503686
4.87555978976 3.28063396817 0.100718577106
5.33856945686 3.41428561133 0.0996475977911
5.39236854465 3.43505966412 0.0995231560909
5.63187437192 3.52754276934 0.114098567143
5.77835920537 3.58410662176 0.131077342173
5.87233012636 3.62039268074 0.145037389033
5.90484645904 3.63644168644 0.149867920895
6.06439952035 3.7151918953 0.172110807457
6.12795076743 3.74655872674 0.191960380831
6.24302461325 3.8033554395 0.203243649651
6.30978671089 3.83630704249 0.223947192435
6.32836864105 3.84589455254 0.229709620516
6.45490688047 3.91118306838 0.264972360553
6.53998666199 3.9550807288 0.289267173321
6.62618784919 3.99955698833 0.315789531354
6.70001560002 4.03764906471 0.342956293926
6.71447935753 4.04586465592 0.348278594301
6.80394731763 4.0966835518 0.384110197472
6.89499933668 4.14840221255 0.425360425895
6.98660788725 4.20043699 0.467847890645
7.07316130632 4.24960039093 0.505702647686
7.09345571654 4.25870054487 0.514578553183
7.17614357276 4.29577835165 0.58119129865
7.27320994023 4.33930358234 0.650205779993
7.37135645939 4.38331316052 0.725768303921
7.47044991281 4.42774735057 0.807179063204
7.5782736832 4.47609627515 0.922418277303
7.59018919037 4.48140729381 0.935153258442
7.77837367357 4.56528549434 1.13716462598
7.90712267324 4.62267191764 1.36711204079
7.92735822765 4.63169137484 1.41051691841
7.94021537575 4.89324060694 1.43809525547
8.01971214054 4.74605584226 1.60861429725
8.11719526277 4.56557012763 1.8822544561
8.17365067014 4.46104542312 2.02157524511
8.31883912313 4.19223538609 2.36380301843
8.41802473667 3.89231831501 2.59759620904
8.50301464466 3.61689220772 2.7979283041
8.56520540631 3.57552746801 2.94451989209
8.70578265595 3.48202577761 2.33591999515
8.75511082468 3.44921629264 2.58473174804
8.94835644935 3.32068345668 2.56488790898
9.73702553688 3.18884392425 2.48390174192
9.7646148986 3.18423189037 2.49289482424
10.3389240844 2.92442131914 2.6800977699
10.6607980134 2.79143786474 2.78501642543
10.8231211063 2.72437345328 2.81355525696
11.2617498993 2.49761441621 2.89067277
11.583122159 2.29696847571 2.94717482783
11.8437571515 2.09484857061 2.99299836416
12.0184581286 1.94635185561 3.02371341318
12.1085353629 1.8697857504 2.99995188676
12.4523017448 1.6461968948 2.90926955146
12.8812925188 1.42255247614 2.79610582383
13.1192527354 1.35939560036 2.73333415886
13.8809956865 1.15722186886 2.54317654395
14.0700759283 1.13747340793 2.49597551931
15.3546522008 1.00330600845 2.2957363806
15.3623798599 1.00161876236 2.29453179678
16.232774937 0.811577939688 2.14995749409
16.5736556317 0.696835726631 2.09333655262
17.0839850365 0.525056197239 2.00628802756
17.5666373552 0.484726094504 1.92396047195
18.2859624861 0.424619770967 1.73731684159
18.8613353646 0.376542000691 1.59496483173
18.9238765258 0.376807442282 1.57949163109
19.581447086 0.379598349458 1.422395981
20.2634027947 0.382492753796 1.28791329103
20.9655330907 0.385472784535 1.15195671578
21.4656845881 0.387595562664 1.05465029974
21.7005317959 0.392641236543 1.00895986348
22.9633305238 0.419772368381 0.866852720027
24.3370215341 0.449286012226 0.731652642844
24.4376322392 0.451447625353 0.72475687208
26.8192956352 0.502989504772 0.561519721643
27.2810336091 0.51298203479 0.545889089255
