# Hudgins+1993 H2O:CH3OH:CO:NH3=100:10:1:1 ice mixture 10K
# http://esoads.eso.org/abs/1993ApJS...86..713H
# Fig.2, Tab.2A-2F
# wlen(1/cm) Re(m) Im(m)
91.3338252308 1.78198039745 0.021825553367
100.458636281 1.79501667655 0.0499844363799
130.987141267 1.80678576214 0.144194452977
135.689850678 1.80859871006 0.157941294512
167.397943636 1.7422013114 0.250629592072
170.625904409 1.7334070397 0.260065485584
188.536672274 1.68461085844 0.289069822074
202.629158033 1.62535635972 0.311890909477
213.198522352 1.55529762192 0.32900672503
217.558986336 1.52743910203 0.336067972519
223.767886672 1.48777112766 0.319749808489
237.860372431 1.43138650495 0.282712091378
256.70780206 1.40977353629 0.233177482736
266.045343949 1.39906586929 0.196354582539
283.544018733 1.41531455983 0.127347989279
301.276558346 1.4317804095 0.0851557286289
326.14195535 1.48446972529 0.0259917659654
327.699969144 1.48777112766 0.0243327669169
345.855927439 1.54286941777 0.005
348.838697782 1.55192129721 0.00705229345533
377.336481969 1.60384022154 0.0266601778162
378.78523002 1.60647963519 0.0285123543919
417.539565857 1.64262165655 0.0780584938803
433.613055439 1.64882771722 0.0986079198906
456.293901695 1.6575849138 0.129170338896
487.923433176 1.65495456537 0.171791102829
495.048237532 1.65436205839 0.17984525982
533.802573369 1.6352551299 0.223654673996
541.659019325 1.63128835515 0.232535907216
572.556909206 1.6156877935 0.258375859231
596.455060881 1.60915777168 0.278361919604
611.311245043 1.60509841144 0.296118817039
650.06558088 1.58461025921 0.342440049941
650.746870333 1.5838543339 0.343254363146
687.058355998 1.54356489355 0.401297464315
705.087885741 1.50830409528 0.430117266088
717.004888235 1.48499771808 0.441728131963
739.905177594 1.42952952636 0.464040134362
759.282345512 1.37365135236 0.482919521008
759.352771179 1.37344028877 0.482988137505
778.659513431 1.3155785673 0.475079291641
799.798242069 1.25480472246 0.46641998784
813.449613635 1.21436770517 0.460827817388
819.175409988 1.19740720234 0.450723797321
840.314138626 1.14603883349 0.413421363704
860.028389468 1.10634008919 0.378632633221
870.260670864 1.08573526245 0.351020850706
896.724659646 1.06121382783 0.279607851549
907.253445982 1.05145789315 0.245392398966
928.489115874 1.06268449859 0.176382730317
946.007781819 1.07194604539 0.12977778138
965.188506555 1.10954462513 0.0787512534604
977.715874776 1.13410111397 0.078932171286
1012.26309922 1.25723076923 0.0794310956103
1014.41416567 1.24362527392 0.0794621608954
1027.04787395 1.16371706908 0.149495146624
1034.55964326 1.11620512821 0.105137931552
1047.12158132 1.14376505074 0.0309593238639
1074.60171437 1.20405434162 0.0225673071743
1108.07136805 1.2455198295 0.0123461815422
1132.38498122 1.25274107308 0.00492117209306
1146.82570388 1.25703002738 0.00457570243109
1185.58003972 1.28166185086 0.00364857103932
1220.98355463 1.29827553541 0.0028016023236
1224.33437556 1.29984796352 0.00281550614487
1264.85027212 1.31439685365 0.00298362189822
1265.28562658 1.31450197008 0.00298542834828
1301.84304723 1.32332876721 0.00649490062258
1319.44374438 1.32751075103 0.00818454823834
1340.59738307 1.33253692551 0.0111317416084
1369.38659615 1.33971935832 0.0151427479014
1379.35171891 1.34220549174 0.0184878488573
1418.10605474 1.34911161047 0.0314969375538
1427.79618813 1.3480179668 0.0347497298409
1456.86039058 1.34473773527 0.0377622729131
1481.95523434 1.33937137922 0.0403633867008
1495.61472642 1.33645039279 0.0390603129956
1534.36906226 1.34358671548 0.035363268061
1536.09014178 1.34376051251 0.0351990823457
1573.12339809 1.34750018276 0.0410211149615
1590.25568689 1.34902669094 0.0437144979942
1611.87773393 1.35095324213 0.0520877875954
1648.14417321 1.34255164191 0.0661322209666
1650.63206977 1.34197528778 0.0662613953192
1689.3864056 1.30629367433 0.068273563485
1695.86972119 1.30340531706 0.068610184432
1728.14074144 1.28902837751 0.0423557394246
1752.64741142 1.29703481798 0.0224180673517
1766.89507728 1.30168959518 0.0178926977096
1805.64941312 1.31527162869 0.00558347480841
1806.75539485 1.31557383134 0.0052321908722
1844.40374895 1.32586101074 0.00538840810916
1860.90237167 1.32909511576 0.00545686712459
1883.15808479 1.33345774134 0.00554921448193
1915.0493485 1.33857253338 0.00568154337699
1921.91242063 1.3396732482 0.0057100208547
1960.66675646 1.34588875506 0.00587082722747
1969.19632532 1.34710474732 0.00590621962938
1999.4210923 1.35141365005 0.00603163360023
2023.34330215 1.35496614763 0.00613089588177
2038.17542814 1.35716874899 0.006192439973
2076.92976398 1.36223323606 0.00635324634577
2077.49027898 1.36229982617 0.00635557213416
2115.68409981 1.36683731521 0.00856061065123
2131.6437547 1.36617370353 0.00948200717519
2154.43843565 1.36522588751 0.0115539785455
2185.80125356 1.36466699432 0.0144047690854
2193.19277149 1.36453527564 0.0143033970653
2231.94710732 1.36384466376 0.0137718952343
2239.94606409 1.36351206251 0.0136621924082
2270.70144316 1.36223323606 0.0100215100362
2294.07818628 1.36362183392 0.00725427714373
2309.455779 1.36453527564 0.00731808458238
2348.21011484 1.36752792709 0.00747889095515
2348.22516311 1.36752908913 0.00747895339612
2386.96445067 1.37052057854 0.00763969732792
2401.38764945 1.37231975338 0.00769954462574
2425.71878651 1.37535486165 0.00780050370069
2456.51911676 1.37919859656 0.0079283059009
2464.82543449 1.38023518555 0.00796277194957
2503.22745818 1.38479322391 0.00812211644622
2530.35590334 1.38898299928 0.00823468260871
2541.98179402 1.39077852681 0.00828292281899
2580.73612986 1.3946919941 0.00844372919176
2586.96410639 1.39557986678 0.00846957141803
2619.4904657 1.40021688908 0.00570679733359
2629.6168504 1.40190113282 0.00484666684821
2658.24480153 1.4066625999 0.00179516500604
2675.08631064 1.41116439792 0.0
2696.99913737 1.41702177799 0.0
2706.44158523 1.4194896905 0.0
2735.75347321 1.42715075213 0.000872509090239
2773.63145936 1.43975066075 0.002
2774.50780904 1.44004217376 0.0022324956602
2803.55329027 1.45073919242 0.00993826476108
2813.26214488 1.45431481914 0.0115673717701
2851.15444363 1.45521515269 0.0179255480859
2852.01648072 1.45523563497 0.0178559381577
2890.77081656 1.46950828035 0.014726506075
2902.62530501 1.4762682779 0.0137692501783
2929.52515239 1.49160786029 0.0219372964022
2965.42870041 1.51400121475 0.0328392853849
2968.27948823 1.51577927585 0.0333996152946
3007.03382407 1.54386415869 0.0410168828125
3012.82773024 1.55071299871 0.0421556904414
3045.7881599 1.58967474628 0.0790835842826
3074.51259534 1.62379985035 0.111265595049
3084.54249574 1.63571553782 0.131008565367
3121.48252757 1.65568338044 0.203721745211
3123.29683158 1.65666409797 0.208259707028
3162.05116742 1.64791634758 0.305192578106
3163.55868764 1.64609623581 0.30896320815
3197.28238181 1.60537977184 0.394095703315
3208.1122438 1.58414376084 0.421434735871
3225.46735333 1.55011255183 0.453352131133
3248.36764269 1.4903033712 0.495467543062
3253.09140827 1.47738272419 0.504154915096
3269.50637133 1.43248381049 0.5112760855
3288.38023618 1.35838554134 0.519463981346
3306.49914645 1.30050568911 0.527324361359
3308.27598088 1.29499923304 0.528095191044
3325.87631436 1.24045534243 0.512747251583
3352.29972516 1.17751100314 0.489705363787
3363.29947362 1.15266335707 0.48011330273
3376.96157524 1.12180164537 0.458360195815
3401.62342532 1.06392179315 0.419093040859
3412.34863087 1.04201917844 0.402016126239
3429.80839684 1.00636349566 0.354791861644
3453.12169703 0.978774618625 0.2917352629
3465.03961123 0.964671001093 0.259105127908
3490.63014917 0.967407179477 0.189040627264
3503.79394707 0.968814672331 0.159912140094
3535.93787429 1.00127406165 0.0887849488001
3542.54828291 1.00794934514 0.0808615268356
3581.30261875 1.0604358475 0.034409488302
3589.20299683 1.06878919147 0.0249398726019
3620.05695458 1.10141215197 0.0147562134686
3646.506675 1.12686454306 0.00602621717327
3658.81129042 1.13870519312 0.00552120487036
3696.95670622 1.16476268919 0.00395562125634
3697.56562626 1.16517864826 0.0039581478955
3736.31996209 1.18244394509 0.00411895426827
3751.10368305 1.18885455136 0.00418029750873
3775.07429793 1.199248834 0.003961240758
3813.82863377 1.21075903188 0.00360708217985
3830.75214557 1.21544051097 0.00345242575891
3854.05093687 1.22188555651 0.00225492977535
3897.43589744 1.23158974359 2.50580474179e-05
3897.92343328 1.23158974359 0.0
