# opacity, 4.5 volume ratio
# Ossenkopf+1994, Fig.5c
# w(micron), kappa(cm2/g)
1.252848599208106 8364.88906748629
1.3980203482253692 7423.061853291096
1.5600192934136976 6604.231612677612
1.740790253097698 5875.725685156828
1.9424736489692154 5161.605164222764
2.1675462259892804 4567.9956832239495
2.418694134682853 4038.377625890623
2.67676955617609 3576.2973102957367
2.7834348815077328 6653.359859557029
2.8313566075021965 9041.271928713917
2.8483022664173356 21254.77592983433
2.8494214677582854 13225.600977805256
2.976329082652381 33087.04101586892
3.1731445760781845 16318.65457133132
3.18740735979218 11399.857931084634
3.233835499926209 7929.434493695355
3.2809410411428432 5516.839275109403
3.345846966847483 4229.471083435165
3.4594229919890247 3081.2246201014373
3.6189947361829726 2352.885708959955
3.782661373557127 1857.1939150898002
4.192646014821623 1811.86396466546
4.69267541046207 1916.7247392050795
4.984039053531463 1305.681965676128
5.3471629374235015 1210.8049541344294
5.616005355985938 1830.7458899844648
5.975552344399309 2605.1202167211413
6.657076098913707 2361.7783445705013
7.171495892260731 1736.9350144372136
7.687319355455217 1291.185304807258
8.427117053866386 1043.0299464931666
9.067426400528003 1723.049313699732
9.488022690198598 2321.911695346675
9.830530218945128 5465.804148017383
10.148281552514826 3339.4842404638116
10.925019168329898 5717.395792566309
11.721341410896729 8028.048552442664
13.081514814933115 7931.508232187793
14.377688498587682 6168.024855427906
15.576226895577113 4533.39977012909
18.41597841017792 3225.7774779049923
20.961657452115162 2181.72659904546
22.481246087101038 1591.311833058982
24.372372821517697 1117.5591947960309
26.42022450349964 736.7891067650609
29.26655034980966 473.68592423110675
33.3466161380573 666.7919855240019
35.553974937093294 893.7539892596936
38.31018495706589 1194.923817485136
42.14749577303502 1524.0222138905572
47.09738974995272 1511.6753360470475
51.05646091193956 1326.7455868867635
54.14078556119814 1082.0775710775824
60.05830643465933 830.410077061268
65.62876191181346 589.8199710865856
71.54747976601102 464.1349601588845
81.87859351718625 309.98066144565155
89.2420982075726 206.97061576139834
95.71329801095536 152.88052809327183
101.00773992116278 120.28168347379426
109.52602355001451 97.07075909236755
122.01951297834337 76.39499222923237
136.67661472132207 60.124886625254426
153.07522277415976 43.3135751876399
175.19730630030946 31.206527953421396
194.12721848038132 24.558905201582952
223.40102485576432 18.378450205922224
280.3147866442128 11.974067766899745
342.3582511530107 8.309072536510106
387.65366629814645 6.4577204569915905
429.5469617937359 5.14672909386208
535.7293842836377 3.2942879522734465
597.7198791714429 2.6393330843815903
666.890413981274 2.1303182207196545
744.0745341893586 1.734091705470587
830.2016629122659 1.4235638097262384
926.2980648211375 1.16864287740326
1033.523867268746 0.9634414870691222
1261.3210018398222 0.6946087262881668

